wfds,34,34,34,245,45.0,summer
Hankook,175,65,10,45V,12.0,summer
Pirelli,175,65,10,54,65.0,summer
Pirelli,175,65,10,54,65.0,summer
Pirelli,175,65,10,54,65.0,summer
Hankook,175,65,10,3243,324.0,summer
Hankook,175,65,10,3243,324.0,summer
Hankook,175,65,16,50,234.0,summer
Hankook,175,65,16,234,34.0,summer
Pirelli,175,65,16,34,23.0,summer
Hankook,175,65,16,45T,345.0,summer
Pirelli,175,65,16,123,150.0,all season
Laufen,205,55,16,92V,35.0,summer
Pirelli,205,55,16,34H,234.0,summer
axel,175,65,16,2345,345.0,winter
axel,175,65,16,2345,345.0,winter
